"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"31",31,"Valero Energy",88407,"Joseph W. Gorder","Chairman, President & Chief Executive Officer","Energy","Petroleum Refining","San Antonio",14,37,"M",0,-8.17541705205412e-05,1
"32",32,"Citigroup",87966,"Michael L. Corbat","Chairman & Chief Executive Officer","Financials","Commercial Banks","New York City",18,289,"M",0,0.120349327689897,0.997467107619993
"33",33,"Comcast",84526,"Brian L. Roberts","Chairman, President & Chief Executive Officer","Telecommunications","Telecommunications","Philadelphia",17,186,"M",0,0.000133281840779665,1
"34",34,"IBM",79139,"Virginia M. Rometty","Chairman, President & Chief Executive Officer","Technology","Information Technology Services","Armonk, N.Y.",18,439,"F",1,0.0626157476444192,0.999993177963646
"35",35,"Dell Technologies",78660,"Michael S. Dell","Chairman & Chief Executive Officer","Technology","Computers, Office Equipment","Round Rock, Texas",15,148,"M",0,2.17797510504854e-05,0.999953454044951
"36",36,"State Farm Insurance Cos.",78330.8,"Michael L. Tipsord","Chairman, President & Chief Executive Officer","Financials","Insurance: Property and Casualty (Mutual)","Bloomington, Ill.",18,603,"M",0,0.000105585251777204,2.22044604925031e-16
"37",37,"Johnson & Johnson",76450,"Alex Gorsky","Chairman & Chief Executive Officer","Health Care","Pharmaceuticals","New Brunswick, N.J.",18,125,"M",0,0.000351926269953798,2.22044604925031e-16
"38",38,"Freddie Mac",74676,"Donald H. Layton","Chairman & Chief Executive Officer","Financials","Diversified Financials","McLean, Va.",15,569,"M",0,0.0558168012472436,0.997353397937418
"39",39,"Target",71879,"Brian C. Cornell","Chairman & Chief Executive Officer","Retailing","General Merchandisers","Minneapolis",18,419,"M",0,0.181269678683224,2.22044604925031e-16
"40",40,"Lowe’s",68619,"Marvin R. Ellison","Chairman, President & Chief Executive Officer","Retailing","Specialty Retailers: Other","Mooresville, N.C.",18,332,"M",0,0.066722937289783,0.951623907938336
"41",41,"Marathon Petroleum",67610,"Gary R. Heminger","Chairman & Chief Executive Officer","Energy","Petroleum Refining","Findlay, Ohio",23,489,"M",0,-0.000440557095200173,1
"42",42,"Procter & Gamble",66217,"David S. Taylor","Chairman, President & Chief Executive Officer","Household Products","Household and Personal Products","Cincinnati",18,740,"M",0,0.214160195884808,0.999900551762268
"43",43,"MetLife",66153,"Steven A. Kandarian","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (stock)","New York City",18,505,"M",0,0.105298569181818,0.993782647609058
"44",44,"UPS",65872,"David P. Abney","Chairman & Chief Executive Officer","Transportation","Mail, Package, and Freight Delivery","Atlanta",18,420,"M",0,4.40015393684957e-05,2.22044604925031e-16
"45",45,"PepsiCo",63525,"Ramon Laguarta","Chairman & Chief Executive Officer","Food, Beverages & Tobacco","Food Consumer Products","Purchase, N.Y.",18,342,"M",0,0.158013484206436,0.999535523498291
"46",46,"Intel",62761,"Robert H. Swan","Chairman & Chief Executive Officer","Technology","Semiconductors and Other Electronic Components","Santa Clara, Calif.",18,57,"M",0,0.0432324099514743,0.999917260223884
