"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"246",246,"United States Steel",12250,"David B. Burritt","President, Chief Executive Officer & Director","Materials","Metals","Pittsburgh",9,352,"M",0,0.0828490278066726,0.971943921838666
"247",247,"Core-Mark Holding",12225,"Scott E. McPherson","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Food and Grocery","South San Francisco, Calif.",25,679,"M",0,-7.54871162744489e-05,1
"248",248,"Bed Bath & Beyond",12215.8,"Steven H. Temares","Chief Executive Officer & Director","Retailing","Specialty Retailers: Other","Union, N.J.",8,602,"M",0,0.0661735688545008,0.0793105894966662
"249",249,"Oneok",12173.9,"Terry K. Spencer","President, Chief Executive Officer & Director","Energy","Pipelines","Tulsa, Okla.",9,256,"M",0,-0.000553249986187947,8.72565651085595e-07
"250",250,"BB&T Corp.",12156,"Kelly S. King","Chairman & Chief Executive Officer","Financials","Commercial Banks","Winston-Salem, N.C.",14,426,"F",1,0.119466706901105,0.166319711358801
"251",251,"Becton Dickinson",12093,"Vincent A. Forlenza","Chairman & Chief Executive Officer","Health Care","Medical Products and Equipment","Franklin Lakes, N.J.",18,481,"M",0,-0.00070669517371732,1
"252",252,"Ameriprise Financial",12075,"James M. Cracchiolo","Chairman & Chief Executive Officer","Financials","Diversified Financials","Minneapolis",5,114,"M",0,0.055167578914426,0.456417462224571
"253",253,"Farmers Insurance Exchange",12071.8,"Jeffrey J. Dailey","President, Chief Executive Officer & Director","Financials","Insurance: Property and Casualty (Mutual)","Woodland Hills, Calif.",20,110,"M",0,-0.000603839763041751,2.22044604925031e-16
"254",254,"First Data",12052,"Frank J. Bisignano","Chairman & Chief Executive Officer","Business Services","Financial Data Services","New York City",18,298,"M",0,-0.000724676750181412,1
"255",255,"Consolidated Edison",12033,"John McAvoy","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","New York City",18,162,"M",0,0.242007946893258,0.000131058548949931
"256",256,"Parker-Hannifin",12029.3,"Thomas L. Williams","Chairman & Chief Executive Officer","Industrials","Industrial Machinery","Cleveland",18,554,"M",0,0.0361832290060044,0.519651099217266
"258",258,"Estee Lauder",11824,"Fabrizio Freda","President, Chief Executive Officer & Director","Household Products","Household and Personal Products","New York City",17,497,"M",0,0.213666514171122,0.982885688510169
"259",259,"State Street Corp.",11774,"Joseph L. Hooley","Chairman & Chief Executive Officer","Financials","Commercial Banks","Boston",17,428,"M",0,0.119480769873544,0.166147819742579
"260",260,"Tesla",11758.8,"Elon Musk","Chairman & Chief Executive Officer","Motor Vehicles & Parts","Motor Vehicles and Parts","Palo Alto, Calif.",13,430,"M",0,0.0519007411446742,0.936588100360665
"261",261,"Netflix",11692.7,"Reed Hastings","Chairman, President & Chief Executive Officer","Technology","Internet Services and Retailing","Los Gatos, Calif.",20,512,"M",0,-0.000667624788979387,2.22044604925031e-16
"262",262,"Alcoa",11652,"Roy C. Harvey","President, Chief Executive Officer & Director","Materials","Metals","Pittsburgh",13,139,"M",0,0.0828755193926559,0.972134326974881
"263",263,"Discover Financial Services",11545,"Roger C. Hochschild","Chairman & Chief Executive Officer","Financials","Commercial Banks","Riverwoods, Ill.",3,181,"M",0,0.119485931634658,0.165142222276126
"264",264,"Praxair",11437,"Stephen F. Angel","Chairman & Chief Executive Officer","Chemicals","Chemicals","Danbury, Conn.",18,336,"M",0,-0.000671493046043983,0.999999999913891
"265",265,"CSX",11408,"James M. Foote","President, Chief Executive Officer & Director","Transportation","Railroads","Jacksonville, Fla.",18,314,"M",0,-0.000476023802958427,0.986385152998496
"266",266,"Xcel Energy",11404,"Benjamin G.S. Fowke III","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Minneapolis",16,59,"M",0,0.242022155520618,0.000128473512857992
"267",267,"Unum Group",11286.8,"Richard P. McKenney","President, Chief Executive Officer & Director","Financials","Insurance: Life, Health (stock)","Chattanooga, Tenn.",17,720,"M",0,0.104814931628628,0.473200759366952
"268",268,"Universal Health Services",11278.9,"Alan B. Miller","Chairman & Chief Executive Officer","Health Care","Health Care: Medical Facilities","King of Prussia, Pa.",8,657,"M",0,0.0828689402663827,1.04960506094783e-05
"269",269,"NRG Energy",11275,"Mauricio Gutierrez","President, Chief Executive Officer & Director","Energy","Energy","Princeton, N.J.",5,534,"M",0,-0.000609401302514126,1
"270",270,"EOG Resources",11208.3,"William R. Thomas","Chairman & Chief Executive Officer","Energy","Mining, Crude-Oil Production","Houston",3,263,"M",0,0.0448716249979116,2.85691631918066e-05
"271",271,"Sempra Energy",11207,"J. Walker Martin","Chairman & Chief Executive Officer","Energy","Utilities: Gas and Electric","San Diego",14,172,"M",0,0.242030248053241,0.000128607117030208
"272",272,"Toys “R” Us",11146,"David A. Brandon","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Wayne, N.J.",18,602,"M",0,0.0662101303316644,0.0786476615271903
"273",273,"Group 1 Automotive",11123.7,"Earl J. Hesterberg","President, Chief Executive Officer & Director","Retailing","Automotive Retailing, Services","Houston",11,130,"M",0,0.0999226584857912,1
"274",274,"Entergy",11074.5,"Leo P. Denault","Chairman & Chief Executive Officer","Energy","Utilities: Gas and Electric","New Orleans",18,119,"M",0,0.242034840752236,0.000128478579197409
"275",275,"Molson Coors Brewing",11002.8,"Mark R. Hunter","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Beverages","Denver",24,190,"M",0,-0.000398156316699187,2.22044604925031e-16
"276",276,"L3 Technologies",11002,"Christopher E. Kubasik","President, Chief Executive Officer & Director","Aerospace & Defense","Aerospace and Defense","New York City",9,432,"M",0,0.159353762185174,1
"277",277,"Ball",10983,"John A. Hayes","Chairman, President & Chief Executive Officer","Materials","Packaging, Containers","Broomfield, Colo.",16,207,"M",0,-0.000384934734499688,1
"278",278,"AutoZone",10888.7,"William C. Rhodes III","Chairman, President & Chief Executive Officer","Retailing","Specialty Retailers: Other","Memphis",14,654,"M",0,0.0662194572484286,0.0785661206927844
"279",279,"Murphy USA",10853.4,"R. Andrew Clyde","President, Chief Executive Officer & Director","Retailing","Specialty Retailers: Other","El Dorado, Ark.",21,592,"M",0,0.0662211511091049,0.078614889574246
"280",280,"MGM Resorts International",10773.9,"James J. Murren","Chairman & Chief Executive Officer","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Las Vegas",11,611,"M",0,-0.00061050579419757,2.22044604925031e-16
"281",281,"Office Depot",10752,"Gerry P. Smith","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Boca Raton, Fla.",18,493,"M",0,0.0662239727553663,0.0784592611868485
"282",282,"Huntsman",10592,"Peter R. Huntsman","Chairman, President & Chief Executive Officer","Chemicals","Chemicals","The Woodlands, Texas",6,36,"M",0,-0.000644855805140425,0.999999999912879
"284",284,"Norfolk Southern",10551,"James A. Squires","Chairman, President & Chief Executive Officer","Transportation","Railroads","Norfolk, Va.",18,344,"M",0,-0.000447264469247661,0.986272439315879
"285",285,"salesforce.com",10480,"Marc R. Benioff/Keith G. Block","Chairman & Chief Executive Officer","Technology","Computer Software","San Francisco",20,350,"M",0,0.0760177747347247,0.998619991371707
"286",286,"Laboratory Corp. of America",10441.4,"David P. King","Chairman, President & Chief Executive Officer","Health Care","Health Care: Pharmacy and Other Services","Burlington, N.C.",25,593,"M",0,0.152924231575747,0.00417138296196936
"287",287,"W.W. Grainger",10424.9,"Donald G. MacPherson","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Diversified","Lake Forest, Ill.",18,323,"M",0,0.0827314994205788,0.926046006271586
"288",288,"Qurate Retail",10404,"Gregory B. Maffei","Chairman","Retailing","Internet Services and Retailing","Englewood, Colo.",7,349,"M",0,-0.00081064238905904,1
"289",289,"Autoliv",10382.6,"Mikael Bratt","Chairman, President & Chief Executive Officer","Motor Vehicles & Parts","Motor Vehicles and Parts","Auburn Hills, Mich.",14,609,"M",0,0.0519433844851427,0.935359836212122
"290",290,"Live Nation Entertainment",10337.4,"Michael Rapino","President, Chief Executive Officer & Director","Media","Entertainment","Beverly Hills, Calif.",25,151,"M",0,-0.000547962867528313,1
"291",291,"Xerox",10265,"John Visentin","Chairman & Chief Executive Officer","Technology","Computers, Office Equipment","Norwalk, Conn.",18,425,"M",0,-0.000635539918717375,0.967926791061563
"292",292,"Leidos Holdings",10170,"Roger A. Krone","Chairman & Chief Executive Officer","Technology","Information Technology Services","Reston, Va.",11,399,"M",0,0.0619525636764908,0.994891061557873
"293",293,"Corning",10116,"Wendell P. Weeks","Chairman, President & Chief Executive Officer","Industrials","Electronics, Electrical Equip.","Corning, N.Y.",17,498,"M",0,-0.000643954809852226,0.999999999999589
"294",294,"Lithia Motors",10086.5,"Bryan B. DeBoer","President, Chief Executive Officer & Director","Retailing","Automotive Retailing, Services","Medford, Ore.",20,99,"M",0,0.0999527911957243,1
"295",295,"Expedia Group",10059.8,"Mark D. Okerstrom","President, Chief Executive Officer & Director","Retailing","Internet Services and Retailing","Bellevue, Wash.",20,301,"M",0,-0.000800569971187175,1
"296",296,"Republic Services",10041.5,"Donald W. Slager","President, Chief Executive Officer & Director","Business Services","Waste Management","Phoenix",25,421,"M",0,-0.000369843478912732,1
"297",297,"Jacobs Engineering Group",10022.8,"Steven J. Demetriou","Chairman, President & Chief Executive Officer","Engineering & Construction","Engineering, Construction","Dallas",11,508,"M",0,-0.000474104936513479,0.999999999996403
"298",298,"Sonic Automotive",9867.2,"David Bruton Smith","President, Chief Executive Officer & Director","Retailing","Automotive Retailing, Services","Charlotte, N.C.",12,725,"M",0,0.0999581312337338,1
"299",299,"Ally Financial",9866,"Jeffrey J. Brown","Chairman & Chief Executive Officer","Financials","Diversified Financials","Detroit",4,649,"M",0,0.0552370837203472,0.448789399634302
"300",300,"LKQ",9848,"Dominick P. Zarcone","President, Chief Executive Officer & Director","Wholesalers","Wholesalers: Diversified","Chicago",21,488,"M",0,0.0827513508801256,0.925727326061961
"301",301,"BorgWarner",9799.3,"Frederic Lissalde","President, Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Auburn Hills, Mich.",5,350,"M",0,0.0519607756771522,0.934749363323494
"302",302,"Fidelity National Financial",9769,"Raymond R. Quirk","Chairman & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","Jacksonville, Fla.",4,319,"M",0,0.0352580403782483,0.00840362778860749
"303",303,"SunTrust Banks",9741,"William H. Rogers Jr.","Chairman & Chief Executive Officer","Financials","Commercial Banks","Atlanta",18,310,"M",0,0.119546481469641,0.162733548951224
"305",305,"Reliance Steel & Aluminum",9721,"Gregg J. Mollins","President, Chief Executive Officer & Director","Materials","Metals","Los Angeles",5,145,"M",0,0.0829407630114723,0.971643950328646
"307",307,"Voya Financial",9660,"Rodney O. Martin Jr.","Chairman & Chief Executive Officer","Financials","Diversified Financials","New York City",20,576,"M",0,0.0552520387660499,0.452270774845944
"308",308,"CenterPoint Energy",9614,"Scott M. Prochazka","President, Chief Executive Officer & Director","Energy","Utilities: Gas and Electric","Houston",18,651,"M",0,0.242087647945548,0.000127625895227357
"309",309,"eBay",9567,"Devin N. Wenig","President, Chief Executive Officer & Director","Technology","Internet Services and Retailing","San Jose, Calif.",6,129,"M",0,-0.000594246365698744,2.22044604925031e-16
"310",310,"Eastman Chemical",9549,"Mark J. Costa","Chairman & Chief Executive Officer","Chemicals","Chemicals","Kingsport, Tenn.",18,128,"M",0,-0.000598431202954676,0.999999999913975
"311",311,"American Family Insurance Group",9545.4,"Jack C. Salzwedel","Chairman & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","Madison, Wis.",16,63,"M",0,0.0352750145940143,0.00854433227166803
"312",312,"Steel Dynamics",9538.8,"Mark D. Millett","President, Chief Executive Officer & Director","Materials","Metals","Fort Wayne, Ind.",25,636,"M",0,0.0829538128372924,0.971974994852029
"313",313,"Pacific Life",9510,"James T. Morris","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (stock)","Newport Beach, Calif.",16,374,"M",0,0.104890037223346,0.476593709614172
"314",314,"Chesapeake Energy",9496,"Robert D. Lawler","President, Chief Executive Officer & Director","Energy","Mining, Crude-Oil Production","Oklahoma City",6,364,"M",0,0.0449432307590022,2.89015181418156e-05
"315",315,"Mohawk Industries",9491.3,"Jeffrey S. Lorberbaum","Chairman & Chief Executive Officer","Household Products","Home Equipment, Furnishings","Calhoun, Ga.",12,433,"M",0,0.0903266193208269,0.999928985869363
"316",316,"Quanta Services",9466.5,"Earl C. Austin Jr.","President, Chief Executive Officer & Director","Engineering & Construction","Engineering, Construction","Houston",22,408,"M",0,-0.000439819019037058,0.999999999996495
"317",317,"Advance Auto Parts",9373.8,"Thomas R. Greco","President, Chief Executive Officer & Director","Retailing","Specialty Retailers: Other","Roanoke, Va.",9,551,"M",0,0.0662829778285207,0.0793349135167348
"318",318,"Owens & Minor",9318.3,"Robert C. Sledd","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Health Care","Mechanicsville, Va.",18,683,"M",0,-0.00106390935760563,1
"319",319,"United Natural Foods",9274.5,"Steven L. Spinner","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Food and Grocery","Providence, R.I.",22,724,"M",0,3.8955654214903e-05,1
"320",320,"Tenneco",9274,"Brian J. Kesseler","Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Lake Forest, Ill.",18,405,"M",0,0.0519956313455323,0.936514246501641
"321",321,"Conagra Brands",9234.8,"Sean M. Connolly","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Consumer Products","Chicago",18,95,"M",0,0.15766225035291,0.942758213402505
"322",322,"GameStop",9224.6,"Shane S. Kim","Interim Chief Executive Officer","Retailing","Specialty Retailers: Other","Grapevine, Texas",5,437,"M",0,0.0662919488802791,0.0798085821408053
"323",323,"Hormel Foods",9167.5,"James P. Snee","Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco","Food Consumer Products","Austin, Minn.",18,277,"M",0,0.157665698725166,0.942851052826226
"324",324,"Hilton Worldwide Holdings",9140,"Christopher J. Nassetta","President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","McLean, Va.",8,185,"M",0,-0.000537459114692494,2.22044604925031e-16
"325",325,"Frontier Communications",9128,"Daniel J. McCarthy","President, Chief Executive Officer & Director","Telecommunications","Telecommunications","Norwalk, Conn.",21,302,"M",0,-0.000568411300446537,1
"326",326,"Fidelity National Information Services",9123,"Gary A. Norcross","President, Chief Executive Officer & Director","Business Services","Financial Data Services","Jacksonville, Fla.",25,547,"M",0,-0.000609838829871769,1
"327",327,"Public Service Enterprise Group",9084,"Ralph Izzo","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Newark, N.J.",18,100,"M",0,0.24212241723234,0.000131350910176885
"328",328,"Boston Scientific",9048,"Michael F. Mahoney","Chairman, President & Chief Executive Officer","Health Care","Medical Products and Equipment","Marlborough, Mass.",8,350,"M",0,-0.000582276016810533,1
"329",329,"O’Reilly Automotive",8977.7,"Gregory D. Johnson","President, Chief Executive Officer & Director","Retailing","Specialty Retailers: Other","Springfield, Mo.",25,594,"M",0,0.066303809580826,0.0801571581431446
"330",330,"Charles Schwab",8960,"Walter W. Bettinger II","President, Chief Executive Officer & Director","Financials","Securities","San Francisco",14,195,"M",0,0.0493517528986436,0.831477247382715
"331",331,"Global Partners",8920.6,"Eric Slifka","President, Chief Executive Officer & Director","Wholesalers","Wholesalers: Diversified","Waltham, Mass.",5,233,"M",0,0.0828069280264425,0.928419850596858
"332",332,"PVH",8914.8,"Emanuel Chirico","Chairman & Chief Executive Officer","Apparel","Apparel","New York City",24,348,"M",0,0.0764519933360698,0.60003378740001
"333",333,"Avis Budget Group",8848,"Larry D. De Shon","President, Chief Executive Officer & Director","Retailing","Automotive Retailing, Services","Parsippany, N.J.",15,335,"M",0,0.10002139174839,1
"334",334,"Targa Resources",8814.9,"Joe Bob Perkins","Chairman & Chief Executive Officer","Energy","Pipelines","Houston",3,239,"M",0,-0.000415860722210631,8.87114749355126e-07
"335",335,"Hertz Global Holdings",8803,"Kathryn V. Marinello","President, Chief Executive Officer & Director","Retailing","Automotive Retailing, Services","Estero, Fla.",4,429,"F",1,0.100025249973715,1
"336",336,"Calpine",8752,"John B. Hill III","President, Chief Executive Officer & Director","Energy","Energy","Houston",10,246,"M",0,-0.000498814690993048,1
"337",337,"Mutual of Omaha Insurance",8731.9,"James T. Blackledge","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (stock)","Omaha",16,532,"M",0,0.104931959872722,0.482586098977828
"338",338,"Crown Holdings",8698,"Timothy J. Donahue","President, Chief Executive Officer & Director","Materials","Packaging, Containers","Philadelphia",18,317,"M",0,-0.000284029755627984,1
"339",339,"Peter Kiewit Sons’",8678,"Bruce E. Grewcock","President, Chief Executive Officer & Director","Engineering & Construction","Engineering, Construction","Omaha",12,298,"M",0,-0.000400430153443321,0.999999999996558
"340",340,"Dick’s Sporting Goods",8590.5,"Edward W. Stack","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Coraopolis, Pa.",25,396,"M",0,0.0663224622652338,0.0807143488325621
"341",341,"PulteGroup",8573.3,"Ryan R. Marshall","President, Chief Executive Officer & Director","Engineering & Construction","Homebuilders","Atlanta",9,470,"M",0,0.166150536570478,0.815292542471607
"342",342,"Navistar International",8570,"Troy A. Clarke","Chairman, President & Chief Executive Officer","Industrials","Construction and Farm Machinery","Lisle, Ill.",16,66,"M",0,-0.000156256401338599,2.22044604925031e-16
"343",343,"Thrivent Financial for Lutherans",8527.9,"Bradford L. Hewitt","Chief Executive Officer & Director","Financials","Insurance: Life, Health (Mutual)","Minneapolis",18,378,"M",0,0.0997586574551385,0.662161163245804
"346",346,"Veritiv",8364.7,"Mary A. Laschinger","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Diversified","Atlanta",19,691,"F",1,0.0828318507293671,0.928890542057214
"347",347,"AGCO",8306.5,"Martin H. Richenhagen","Chairman, President & Chief Executive Officer","Industrials","Construction and Farm Machinery","Duluth, Ga.",10,280,"M",0,-0.000149386076299266,2.22044604925031e-16
"348",348,"Genworth Financial",8295,"Thomas J. McInerney","President, Chief Executive Officer & Director","Financials","Insurance: Life, Health (stock)","Richmond, Va.",6,370,"M",0,0.104949699117778,0.483057923403055
"349",349,"Univar",8253.7,"David C. Jukes","President, Chief Executive Officer & Director","Wholesalers","Wholesalers: Diversified","Downers Grove, Ill.",19,683,"M",0,0.082836838578183,0.928985685169236
"350",350,"News Corp.",8139,"Robert J. Thomson","Chairman & Chief Executive Officer","Media","Publishing, Printing","New York City",20,333,"M",0,-0.000561016644616372,1
"351",351,"SpartanNash",8128.1,"David M. Staples","President, Chief Executive Officer & Director","Wholesalers","Wholesalers: Food and Grocery","Byron Center, Mich.",24,80,"M",0,9.28504276274331e-05,1
"352",352,"Westlake Chemical",8041,"Albert Yuan Chao","President, Chief Executive Officer & Director","Chemicals","Chemicals","Houston",2,689,"M",0,-0.00052775588270645,0.999999999916133
"353",353,"Williams",8031,"Alan S. Armstrong","President, Chief Executive Officer & Director","Energy","Energy","Tulsa, Okla.",18,521,"M",0,-0.000472241088018902,1
"354",354,"Lam Research",8013.6,"Martin B. Anstice","Chairman & Chief Executive Officer","Technology","Semiconductors and Other Electronic Components","Fremont, Calif.",19,720,"M",0,0.0429477377204844,0.990291736524384
"355",355,"Alaska Air Group",7933,"Bradley D. Tilden","Chairman, President & Chief Executive Officer","Transportation","Airlines","Seattle",21,305,"M",0,0.11085731091409,0.993874301806187
"356",356,"Jones Lang LaSalle",7932.4,"Christian Ulbrich","President, Chief Executive Officer & Director","Financials","Real estate","Chicago",20,696,"M",0,0.0447616775483129,0.831556474255805
"357",357,"Anixter International",7927.4,"William A. Galvin","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Electronics and Office Equipment","Glenview, Ill.",9,691,"M",0,-0.000158541004340564,0.999999998836246
"358",358,"Campbell Soup",7890,"Denise M. Morrison","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Consumer Products","Camden, N.J.",18,202,"F",1,0.15772421192826,0.943855781814557
"359",359,"Interpublic Group",7882.4,"Michael I. Roth","Chairman & Chief Executive Officer","Business Services","Advertising, marketing","New York City",15,539,"M",0,0.000132374192644336,1
"360",360,"Dover",7830.4,"Richard J. Tobin","President, Chief Executive Officer & Director","Industrials","Industrial Machinery","Downers Grove, Ill.",18,350,"M",0,0.0363496918856425,0.522176489583271
"361",361,"Zimmer Biomet Holdings",7824.1,"Bryan C. Hanson","President, Chief Executive Officer & Director","Health Care","Medical Products and Equipment","Warsaw, Ind.",19,205,"M",0,-0.000527462979113077,1
"362",362,"Dean Foods",7795,"Ralph P. Scozzafava","Chairman & Chief Executive Officer","Food, Beverages & Tobacco","Food Consumer Products","Dallas",14,171,"M",0,0.157731836483602,0.944275060746188
"363",363,"Foot Locker",7782,"Richard A. Johnson","Chairman, President & Chief Executive Officer","Retailing","Specialty Retailers: Apparel","New York City",18,406,"M",0,0.299420943070574,2.22044604925031e-16
"364",364,"Eversource Energy",7752,"James J. Judge","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Springfield, Mass.",17,669,"M",0,0.242184614059676,0.000134269234731102
"365",365,"Alliance Data Systems",7719.4,"Edward J. Heffernan","President, Chief Executive Officer & Director","Business Services","Financial Data Services","Plano, Texas",20,275,"M",0,-0.0005442726602448,1
"366",366,"Fifth Third Bancorp",7713,"Greg D. Carmichael","Chairman, President & Chief Executive Officer","Financials","Commercial Banks","Cincinnati",12,204,"M",0,0.119656795150383,0.171738726522641
"367",367,"Quest Diagnostics",7709,"Stephen H. Rusckowski","Chairman, President & Chief Executive Officer","Health Care","Health Care: Pharmacy and Other Services","Secaucus, N.J.",11,493,"M",0,0.153063766593426,0.00446786657400625
"368",368,"EMCOR Group",7687.9,"Anthony J. Guzzi","President, Chief Executive Officer & Director","Engineering & Construction","Engineering, Construction","Norwalk, Conn.",11,405,"M",0,-0.000350690657364926,0.999999999996637
"369",369,"W.R. Berkley",7684.8,"W. Robert Berkley Jr.","President, Chief Executive Officer & Director","Financials","Insurance: Property and Casualty (Stock)","Greenwich, Conn.",8,639,"M",0,0.0353766917219156,0.00907034762208662
"370",370,"WESCO International",7679,"John J. Engel","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Diversified","Pittsburgh",14,710,"M",0,0.0828754716040177,0.931136057790763
"371",371,"Coty",7650.3,"Camillo Pane","Chairman & Chief Executive Officer","Household Products","Household and Personal Products","New York City",2,298,"M",0,0.213854523977005,0.983788588616873
"372",372,"WEC Energy Group",7648.5,"Gale E. Klappa","Chairman & Chief Executive Officer","Energy","Utilities: Gas and Electric","Milwaukee",25,671,"F",1,0.242201452959173,0.000137764527361847
"373",373,"Masco",7644,"Keith J. Allman","President, Chief Executive Officer & Director","Household Products","Home Equipment, Furnishings","Livonia, Mich.",18,333,"M",0,0.0904285408902449,0.999933240288811
"374",374,"DXC Technology",7607,"J. Michael Lawrie","Chairman, President & Chief Executive Officer","Technology","Information Technology Services","Tysons, Va.",2,593,"M",0,0.0620975547487173,0.995342094106634
"375",375,"Auto-Owners Insurance",7603.7,"Jeffrey S. Tagsold","Chief Executive Officer & Director","Financials","Insurance: Property and Casualty (Mutual)","Lansing, Mich.",9,515,"M",0,-0.000400156978940776,2.22044604925031e-16
"377",377,"Liberty Media",7594,"Gregory B. Maffei","President, Chief Executive Officer & Director","Media","Entertainment","Englewood, Colo.",13,453,"M",0,-0.000394574170259451,1
"378",378,"Erie Insurance Group",7535.1,"Timothy G. NeCastro","Chief Executive Officer","Financials","Insurance: Property and Casualty (Mutual)","Erie, Pa.",8,517,"M",0,-0.000394389857921081,2.22044604925031e-16
"379",379,"Hershey",7515.4,"Michele G. Buck","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Consumer Products","Hershey, Pa.",18,174,"F",1,0.157766522604282,0.946739674259793
"380",380,"PPL",7447,"William H. Spence","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Allentown, Pa.",18,91,"M",0,0.242216490710652,0.000139786756845208
"381",381,"Huntington Ingalls Industries",7441,"C. Michael Petters","President, Chief Executive Officer & Director","Aerospace & Defense","Aerospace and Defense","Newport News, Va.",22,432,"M",0,0.159534291709629,1
"382",382,"Mosaic",7409.4,"James C. O'Rourke","President, Chief Executive Officer & Director","Chemicals","Chemicals","Plymouth, Minn.",6,682,"M",0,-0.000469084851568851,0.999999999921704
"383",383,"J.M. Smucker",7392.3,"Mark T. Smucker","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Consumer Products","Orrville, Ohio",24,620,"M",0,0.157773630707999,0.946978638829204
"384",384,"Delek US Holdings",7349.5,"Ezra Uzi Yemin","Chairman, President & Chief Executive Officer","Energy","Petroleum Refining","Brentwood, Tenn.",20,392,"M",0,-0.000744562475599355,1
"385",385,"Newmont Mining",7348,"Gary J. Goldberg","President, Chief Executive Officer & Director","Energy","Mining, Crude-Oil Production","Greenwood Village, Colo.",8,94,"M",0,0.045070080084728,3.15758956027881e-05
"386",386,"Constellation Brands",7331.5,"Robert S. Sands","Chairman & Chief Executive Officer","Food, Beverages & Tobacco","Beverages","Victor, N.Y.",22,685,"M",0,-0.000205598153452873,2.22044604925031e-16
"387",387,"Ryder System",7329.6,"Robert E. Sanchez","Chairman, President & Chief Executive Officer","Transportation","Trucking, Truck Leasing","Miami",18,425,"M",0,0.0903102064404783,0.990451983546236
"388",388,"National Oilwell Varco",7304,"Clay C. Williams","Chairman, President & Chief Executive Officer","Energy","Oil and Gas Equipment, Services","Houston",6,403,"M",0,-0.000636077725085975,2.22044604925031e-16
"389",389,"Adobe Systems",7301.5,"Shantanu Narayen","Chairman, President & Chief Executive Officer","Technology","Computer Software","San Jose, Calif.",13,199,"M",0,0.0762029916086245,0.998783151370496
"390",390,"LifePoint Health",7263.1,"William F. Carpenter III","Chairman & Chief Executive Officer","Health Care","Health Care: Medical Facilities","Brentwood, Tenn.",20,484,"M",0,0.0830809358999589,1.17774023856783e-05
"391",391,"Tractor Supply",7256.4,"Gregory A. Sandfort","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Brentwood, Tenn.",21,291,"M",0,0.066417417478158,0.0874324950276144
"392",392,"Thor Industries",7247,"Robert W. Martin","President, Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Elkhart, Ind.",2,198,"M",0,0.0521270471792328,0.942582460596704
"393",393,"Dana",7209,"James K. Kamsickas","President, Chief Executive Officer & Director","Motor Vehicles & Parts","Motor Vehicles and Parts","Maumee, Ohio",18,395,"M",0,0.0521286914164434,0.942602313192007
"394",394,"Weyerhaeuser",7196,"Doyle R. Simons","President, Chief Executive Officer & Director","Materials","Forest and Paper Products","Seattle",18,716,"M",0,-0.000442150281816139,0.999999999977991
"395",395,"J.B. Hunt Transport Services",7189.6,"John N. Roberts III","President, Chief Executive Officer & Director","Transportation","Trucking, Truck Leasing","Lowell, Ark.",22,320,"M",0,0.090326374504234,0.99065371102297
"396",396,"Darden Restaurants",7170.2,"Eugene I. Lee Jr.","President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Food Services","Orlando",16,201,"M",0,0.166284831851587,0.0556311325327933
"397",397,"Yum China Holdings",7144,"Joey Wat","Chairman & Chief Executive Officer","Hotels, Restaurants & Leisure","Food Services","Plano, Texas",13,496,"M",0,0.166286692961722,0.0557208697789019
"398",398,"Blackstone Group",7119.1,"Stephen A. Schwarzman","Chairman & Chief Executive Officer","Financials","Diversified Financials","New York City",19,251,"M",0,0.0554185197894305,0.486509642332655
