rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
598;CA;$4,036;Michael P. Gregoire;Chairman & Chief Executive Officer;Technology;Computer Software;New York City;www.ca.com;-;11,800;NA;
599;Hub Group;$4,034.9;David P. Yeager;Chairman & Chief Executive Officer;Transportation;Transportation and Logistics;Oak Brook, Ill.;www.hubgroup.com;-;4,377;NA;
600;Worldpay;$4,026.5;Charles D. Drucker/Philip E.R. Jansen;Chairman & Co-Chief Executive Officer;Business Services;Financial Data Services;Symmes Township, Ohio;www.worldpay.com;-;3,560;NA;
601;Ingles Markets;$4,002.7;James W. Lanning;President, Chief Executive Officer & Director;Food & Drug Stores;Food and Drug Stores;Black Mountain, N.C.;www.ingles-markets.com;-;17,250;NA;
602;Snap-on;$4,000.3;Nicholas T. Pinchuk;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Kenosha, Wis.;www.snapon.com;-;12,600;NA;
603;Dentsply Sirona;$3,993.4;Donald M. Casey Jr.;Chairman & Chief Executive Officer;Health Care;Medical Products and Equipment;York, Pa.;www.dentsplysirona.com;-;16,100;NA;
604;Calumet Specialty Products;$3,992.4;Timothy Go;Chief Executive Officer;Energy;Petroleum Refining;Indianapolis;www.calumetspecialty.com;-;1,600;NA;
605;Global Payments;$3,975.2;Jeffrey S. Sloan;Chairman & Chief Executive Officer;Business Services;Financial Data Services;Atlanta;www.globalpaymentsinc.com;-;10,000;NA;
606;Encompass Health;$3,971.4;NA;NA;Business Services;NA;NA;NA;NA;NA;NA;
607;Martin Marietta Materials;$3,965.6;C. Howard Nye;Chairman, President & Chief Executive Officer;Materials;Building Materials, Glass;Raleigh, N.C.;www.martinmarietta.com;-;8,406;NA;
608;Nasdaq;$3,965;Adena T. Friedman;President, Chief Executive Officer & Director;Financials;Securities;New York City;www.business.nasdaq.com;-;4,734;NA;
609;Leggett & Platt;$3,943.8;Karl G. Glassman;President, Chief Executive Officer & Director;Household Products;Home Equipment, Furnishings;Carthage, Mo.;www.leggett.com;-;22,200;NA;
610;Universal Forest Products;$3,941.2;Matthew J. Missad;Chairman & Chief Executive Officer;Materials;Building Materials, Glass;Grand Rapids, Mich.;www.ufpi.com;-;10,000;NA;
611;Sally Beauty Holdings;$3,938.3;Christian A. Brickman;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Denton, Texas;www.sallybeautyholdings.com;-;21,755;NA;
612;Flowers Foods;$3,920.7;Allen L. Shiver;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Thomasville, Ga.;www.flowersfoods.com;-;9,800;NA;
613;Barnes & Noble;$3,894.6;Demos Parneros;Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;New York City;www.barnesandnobleinc.com;-;18,592;NA;
614;American Equity Investment Life;$3,891.7;John M. Matovina;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);West Des Moines, Iowa;www.american-equity.com;-;515;NA;
615;Vulcan Materials;$3,890.3;J. Thomas Hill;Chairman, President & Chief Executive Officer;Materials;Building Materials, Glass;Birmingham, Ala.;www.vulcanmaterials.com;-;8,287;NA;
