rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
719;Intuitive Surgical;$3,128.9;Gary S. Guthart;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Sunnyvale, Calif.;www.intuitivesurgical.com;-;4,444;NA;
720;Continental Resources;$3,120.8;Harold G. Hamm;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Oklahoma City;www.clr.com;-;1,127;NA;
721;Service Corp. International;$3,095;Thomas L. Ryan;Chairman & Chief Executive Officer;Business Services;Miscellaneous;Houston;www.sci-corp.com;-;19,468;NA;
722;Scientific Games;$3,083.6;Barry L. Cottle;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.scientificgames.com;-;8,600;NA;
723;Albemarle;$3,072;Luther C. Kissam IV;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Charlotte, N.C.;www.albemarle.com;-;5,400;NA;
724;Atmos Energy;$3,063.2;Michael E. Haefner;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Dallas;www.atmosenergy.com;-;4,565;NA;
725;Hologic;$3,058.8;Stephen P. MacMillan;Chairman, President & Chief Executive Officer;Health Care;Medical Products and Equipment;Marlborough, Mass.;www.hologic.com;-;6,233;NA;
726;H&R Block;$3,036.3;Jeffrey J. Jones II;President, Chief Executive Officer & Director;Financials;Diversified Financials;Kansas City, Mo.;www.hrblock.com;-;44,900;NA;
727;Qorvo;$3,032.6;Robert A. Bruggeworth;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Greensboro, N.C.;www.qorvo.com;-;8,600;NA;
728;Steelcase;$3,032.4;James P. Keane;President, Chief Executive Officer & Director;Household Products;Home Equipment, Furnishings;Grand Rapids, Mich.;www.steelcase.com;-;12,650;NA;
729;Univision Communications;$3,016.4;Vincent Sadusky;President, Chief Executive Officer & Director;Media;Entertainment;New York City;corporate.univision.com;-;4,500;NA;
730;Worthington Industries;$3,014.1;John P. McConnell;Chairman & Chief Executive Officer;Materials;Metals;Columbus, Ohio;www.worthingtonindustries.com;-;10,000;NA;
731;Timken;$3,003.8;Richard G. Kyle;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;North Canton, Ohio;www.timken.com;-;15,006;NA;
732;A.O. Smith;$2,996.7;Kevin J. Wheeler;Chairman & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Milwaukee;www.aosmith.com;-;16,100;NA;
733;PriceSmart;$2,996.6;Jose Luis Laparte;President, Chief Executive Officer & Director;Retailing;General Merchandisers;San Diego;www.pricesmart.com;-;7,903;NA;
734;Stifel Financial;$2,996.5;Ronald J. Kruszewski;Co-Chairman & Chief Executive Officer;Financials;Securities;St. Louis;www.stifel.com;-;7,100;NA;
735;Brown-Forman;$2,994;Paul C. Varga;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Beverages;Louisville, Ky.;www.brown-forman.com;-;4,570;NA;
736;Cinemark Holdings;$2,991.5;Mark Zoradi;Chairman & Chief Executive Officer;Media;Entertainment;Plano, Texas;www.cinemark.com;-;19,915;NA;
737;Granite Construction;$2,989.7;James H. Roberts;President, Chief Executive Officer & Director;Engineering & Construction;Engineering, Construction;Watsonville, Calif.;www.graniteconstruction.com;-;3,600;NA;
738;Dycom Industries;$2,977.9;Steven E. Nielsen;Chairman, President & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Palm Beach Gardens, Fla.;www.dycomind.com;-;14,365;NA;
739;Clean Harbors;$2,945;Alan S. McKim;Chairman, President & Chief Executive Officer;Business Services;Waste Management;Norwell, Mass.;www.cleanharbors.com;-;12,700;NA;
740;First Solar;$2,941.3;Mark R. Widmar;Chairman & Chief Executive Officer;Energy;Energy;Tempe, Ariz.;www.firstsolar.com;-;4,100;NA;
741;Scotts Miracle-Gro;$2,936.2;James S. Hagedorn;Chairman & Chief Executive Officer;Chemicals;Chemicals;Marysville, Ohio;www.scotts.com;-;4,700;NA;
742;Cracker Barrel Old Country Store;$2,926.3;Sandra B. Cochran;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Lebanon, Tenn.;www.crackerbarrel.com;-;73,000;NA;
743;Triple-S Management;$2,916.1;Roberto Garcia-Rodriguez;President, Chief Executive Officer & Director;Health Care;Health Care: Insurance and Managed Care;San Juan, Puerto Rico;www.triplesmanagement.com;-;3,517;NA;
744;First Republic Bank;$2,912.1;James H. Herbert II;Chairman & Chief Executive Officer;Financials;Commercial Banks;San Francisco;www.firstrepublic.com;-;4,025;NA;
745;ServiceMaster Global Holdings;$2,912;Nikhil Varty;Chairman & Chief Executive Officer;Business Services;Diversified Outsourcing Services;Memphis;www.servicemaster.com;-;13,000;NA;
746;PC Connection;$2,911.9;Timothy J. McGrath;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Merrimack, N.H.;www.connection.com;-;2,505;NA;
747;Genesco;$2,907;Robert J. Dennis;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Nashville;www.genesco.com;-;19,350;NA;
748;Medical Mutual of Ohio;$2,894.9;Richard A. Chiricosta;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);Cleveland;www.medmutual.com;-;2,244;NA;
749;MSC Industrial Direct;$2,887.7;Erik Gershwind;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Melville, N.Y.;www.mscdirect.com;-;6,563;NA;
750;Legg Mason;$2,886.9;Joseph A. Sullivan;Chairman, President & Chief Executive Officer;Financials;Securities;Baltimore;www.leggmason.com;-;3,338;NA;
751;Hyster-Yale Materials Handling;$2,885.2;Alfred M. Rankin Jr.;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Cleveland;www.hyster-yale.com;-;6,800;NA;
752;Apollo Global Management;$2,884;Leon D. Black;Chairman & Chief Executive Officer;Financials;Securities;New York City;www.agm.com;-;1,047;NA;
753;Citrix Systems;$2,882.9;David J. Henshall;President, Chief Executive Officer & Director;Technology;Computer Software;Fort Lauderdale, Fla.;www.citrix.com;-;7,500;NA;
754;Acadia Healthcare;$2,877.2;Joey A. Jacobs;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;Franklin, Tenn.;www.acadiahealthcare.com;-;34,050;NA;
755;Varian Medical Systems;$2,862.2;Dow R. Wilson;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Palo Alto, Calif.;www.varian.com;-;6,600;NA;
756;Groupon;$2,859.4;Rich Williams;Chairman & Chief Executive Officer;Technology;Internet Services and Retailing;Chicago;www.groupon.com;-;6,672;NA;
757;Aleris;$2,857.3;Sean M. Stack;Chairman, President & Chief Executive Officer;Materials;Metals;Cleveland;www.aleris.com;-;5,400;NA;
758;Sprague Resources;$2,855;David C. Glendon;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Portsmouth, N.H.;www.spragueenergy.com;-;981;NA;
759;Cooper Tire & Rubber;$2,854.7;Bradley E. Hughes;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Findlay, Ohio;www.coopertire.com;-;9,204;NA;
760;Hain Celestial Group;$2,853.1;Mark L. Schiller;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Lake Success, N.Y.;www.hain.com;-;7,825;NA;
761;Penn Mutual Life Insurance;$2,851;Eileen C. McDonnell;Chairman & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Horsham, Pa.;www.pennmutual.com;-;3,089;NA;
762;Colony Capital;$2,842.4;Richard B. Saltzman;President, Chief Executive Officer & Director;Financials;Real estate;Los Angeles;www.clns.com;-;544;NA;
763;ArcBest;$2,826.5;Judy R. McReynolds;Chairman, President & Chief Executive Officer;Transportation;Trucking, Truck Leasing;Fort Smith, Ark.;www.arcb.com;-;13,000;NA;
764;Presidio;$2,817.6;Robert Cagnazzi;Chairman, President & Chief Executive Officer;Technology;Information Technology Services;New York City;www.presidio.com;-;2,700;NA;
765;TRI Pointe Group;$2,810.3;Douglas F. Bauer;Chairman & Chief Executive Officer;Engineering & Construction;Homebuilders;Irvine, Calif.;www.tripointegroup.com;-;1,251;NA;
766;Annaly Capital Management;$2,808.5;Kevin G. Keyes;Chairman, President & Chief Executive Officer;Financials;Diversified Financials;New York City;www.annaly.com;-;152;NA;
767;G-III Apparel Group;$2,806.9;Morris Goldfarb;Chairman & Chief Executive Officer;Apparel;Apparel;New York City;www.giii.com;-;9,961;NA;
768;AMC Networks;$2,805.7;Joshua W. Sapan;President, Chief Executive Officer & Director;Media;Entertainment;New York City;www.amcnetworks.com;-;2,039;NA;
769;Enable Midstream Partners;$2,803;Rodney J. Sailor;President, Chief Executive Officer & Director;Energy;Pipelines;Oklahoma City;www.enablemidstream.com;-;1,630;NA;
770;Ciena;$2,801.7;Gary B. Smith;President, Chief Executive Officer & Director;Technology;Network and Other Communications Equipment;Hanover, Md.;www.ciena.com;-;5,737;NA;
771;DSW;$2,799.8;Roger L. Rawlins;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Columbus, Ohio;www.dswinc.com;-;12,000;NA;
772;Convergys;$2,792.1;Andrea J. Ayers;President, Chief Executive Officer & Director;Business Services;Diversified Outsourcing Services;Cincinnati;www.convergys.com;-;115,000;NA;
773;Park Hotels & Resorts;$2,791;Thomas J. Baltimore Jr.;Chairman, President & Chief Executive Officer;Financials;Real estate;McLean, Va.;www.pkhotelsandresorts.com;-;520;NA;
774;Pool;$2,788.2;Manuel J. Perez de la Mesa;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Covington, La.;www.poolcorp.com;-;4,000;NA;
775;Fossil Group;$2,788.2;Kosta N. Kartsotis;Chairman & Chief Executive Officer;Apparel;Apparel;Richardson, Texas;www.fossilgroup.com;-;12,300;NA;
776;Domino’s Pizza;$2,788;Richard E. Allison;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Ann Arbor, Mich.;www.dominos.com;-;14,200;NA;
777;Crane;$2,786;Max H. Mitchell;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Stamford, Conn.;www.craneco.com;-;10,600;NA;
778;Caleres;$2,785.6;Diane M. Sullivan;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;St. Louis;www.caleres.com;-;12,000;NA;
779;Tempur Sealy International;$2,754.4;Scott L. Thompson;Chairman, President & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Lexington, Ky.;www.tempursealy.com;-;7,000;NA;
780;Tetra Tech;$2,753.4;Dan L. Batrack;Chairman, President & Chief Executive Officer;Engineering & Construction;Engineering, Construction;Pasadena, Calif.;www.tetratech.com;-;16,000;NA;
781;Illumina;$2,752;Francis A. deSouza;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;San Diego;www.illumina.com;-;6,200;NA;
782;Valmont Industries;$2,746;Stephen G. Kaniewski;President, Chief Executive Officer & Director;Materials;Metals;Omaha;www.valmont.com;-;10,690;NA;
783;Hill-Rom Holdings;$2,743.7;John P. Groetelaars;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Chicago;www.hill-rom.com;-;10,000;NA;
784;Unisys;$2,741.8;Peter A. Altabef;President, Chief Executive Officer & Director;Technology;Information Technology Services;Blue Bell, Pa.;www.unisys.com;-;20,500;NA;
785;Zions Bancorp.;$2,736;Harris H. Simmons;Chairman & Chief Executive Officer;Financials;Commercial Banks;Salt Lake City;www.zionsbancorporation.com;-;10,083;NA;
786;Sinclair Broadcast Group;$2,734.1;Christopher S. Ripley;President, Chief Executive Officer & Director;Media;Entertainment;Hunt Valley, Md.;www.sbgi.net;-;8,900;NA;
787;Louisiana-Pacific;$2,733.9;W. Bradley Southern;Chairman & Chief Executive Officer;Materials;Building Materials, Glass;Nashville;www.lpcorp.com;-;5,000;NA;
788;Mettler-Toledo International;$2,725.1;Olivier A. Filliol;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;Columbus, Ohio;www.mt.com;-;14,600;NA;
789;Synopsys;$2,724.9;Aart J. de Geus/Chi-Foon Chan;Chairman & Co-Chief Executive Officer;Technology;Computer Software;Mountain View, Calif.;www.synopsys.com;-;11,686;NA;
790;Kemper;$2,723.4;Joseph P. Lacher Jr.;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Chicago;www.kemper.com;-;5,550;NA;
791;Cabot;$2,717;Sean D. Keohane;President, Chief Executive Officer & Director;Chemicals;Chemicals;Boston;www.cabotcorp.com;-;4,500;NA;
792;Great Plains Energy;$2,708.2;Terry D. Bassham;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Kansas City, Mo.;www.evergyinc.com;-;2,709;NA;
793;Rent-A-Center;$2,702.5;Mitchell E. Fadel;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Plano, Texas;www.rentacenter.com;-;18,300;NA;
794;Hawaiian Holdings;$2,695.6;Peter R. Ingram;President, Chief Executive Officer & Director;Transportation;Airlines;Honolulu;www.hawaiianairlines.com;-;6,660;NA;
795;Revlon;$2,693.7;Debra G. Perelman;Vice Chairman & Chief Executive Officer;Household Products;Household and Personal Products;New York City;www.revloninc.com;-;7,800;NA;
796;Syneos Health;$2,672.1;Alistair MacDonald;Chairman & Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;Raleigh, N.C.;www.syneoshealth.com;-;21,000;NA;
797;Public Storage;$2,668.5;Ronald L. Havner Jr.;Chairman & Chief Executive Officer;Financials;Real estate;Glendale, Calif.;www.publicstorage.com;-;5,600;NA;
798;TTM Technologies;$2,658.6;Thomas T. Edman;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Costa Mesa, Calif.;www.ttm.com;-;29,000;NA;
799;Vectren;$2,657.3;Carl L. Chapman;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Evansville, Ind.;www.vectren.com;-;5,500;NA;
800;Trimble;$2,654.2;Steven W. Berglund;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;Sunnyvale, Calif.;www.trimble.com;-;9,523;NA;
801;NOW;$2,648;Robert R. Workman;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Houston;www.distributionnow.com;-;4,463;NA;
802;Spirit Airlines;$2,647.7;Robert L. Fornaro;Chairman & Chief Executive Officer;Transportation;Airlines;Miramar, Fla.;www.spirit.com;-;6,100;NA;
803;ASGN;$2,625.9;Peter T. Dameris;Chief Executive Officer & Director;Business Services;Temporary Help;Calabasas, Calif.;www.asgn.com;-;3,800;NA;
804;Lincoln Electric Holdings;$2,624.4;Christopher L. Mapes;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Cleveland;www.lincolnelectric.com;-;11,000;NA;
805;Prologis;$2,618.1;Hamid R. Moghadam;Chairman & Chief Executive Officer;Financials;Real estate;San Francisco;www.prologis.com;-;1,565;NA;
806;Range Resources;$2,611;Jeffrey L. Ventura;Chairman, President & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Fort Worth;www.rangeresources.com;-;773;NA;
807;Teledyne Technologies;$2,603.8;Robert Mehrabian;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Thousand Oaks, Calif.;www.teledyne.com;-;10,340;NA;
808;Vishay Intertechnology;$2,603.5;Gerald Paul;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Malvern, Pa.;www.vishay.com;-;23,000;NA;
809;Boston Properties;$2,602.1;Owen D. Thomas;Chief Executive Officer;Financials;Real estate;Boston;www.bostonproperties.com;-;740;NA;
810;Applied Industrial Technologies;$2,593.7;Neil A. Schrimsher;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Cleveland;www.applied.com;-;5,554;NA;
811;Graham Holdings;$2,591.8;Timothy J. O�Shaughnessy;President, Chief Executive Officer & Director;Business Services;Education;Arlington, Va.;www.ghco.com;-;16,153;NA;
812;Amica Mutual Insurance;$2,589.6;Robert A. DiMuccio;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Lincoln, R.I.;www.amica.com;-;3,693;NA;
813;Concho Resources;$2,586;Timothy A. Leach;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Midland, Texas;www.concho.com;-;1,203;NA;
814;ITT;$2,585.3;Denise L. Ramos;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;White Plains, N.Y.;www.itt.com;-;10,000;NA;
815;Kansas City Southern;$2,582.9;Patrick J. Ottensmeyer;President, Chief Executive Officer & Director;Transportation;Railroads;Kansas City, Mo.;www.kcsouthern.com;-;7,130;NA;
816;MDC Holdings;$2,577.6;Larry A. Mizel;Chairman & Chief Executive Officer;Engineering & Construction;Homebuilders;Denver;www.mdcholdings.com;-;1,491;NA;
817;Evergy;$2,571;Terry D. Bassham;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Topeka, Kans.;www.evergyinc.com;-;2,205;NA;
818;Pinnacle Entertainment;$2,561.8;Anthony M. Sanfilippo;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.pnk.com;-;15,377;NA;
819;Hawaiian Electric Industries;$2,555.6;Constance H. Lau;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Honolulu;www.hei.com;-;3,880;NA;
820;TEGNA;$2,550;David T. Lougee;President, Chief Executive Officer & Director;Media;Entertainment;McLean, Va.;www.tegna.com;-;5,283;NA;
821;Southwest Gas Holdings;$2,548.8;John P. Hester;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Las Vegas;www.swgasholdings.com;-;7,771;NA;
822;Vista Outdoor;$2,546.9;Christopher T. Metz;Chairman & Chief Executive Officer;Household Products;Miscellaneous;Farmington, Utah;www.vistaoutdoor.com;-;6,400;NA;
823;Bon-Ton Stores;$2,541;William X. Tracy;President, Chief Executive Officer & Director;Retailing;General Merchandisers;York, Pa.;www.bonton.com;-;23,300;NA;
824;Super Micro Computer;$2,529.9;Charles Liang;Chairman, President & Chief Executive Officer;Technology;Computers, Office Equipment;San Jose, Calif.;www.supermicro.com;-;2,699;NA;
825;Plexus;$2,528.1;Todd P. Kelsey;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Neenah, Wis.;www.plexus.com;-;16,000;NA;
826;TrueBlue;$2,508.8;Patrick Beharelle;Chairman & Chief Executive Officer;Business Services;Temporary Help;Tacoma, Wash.;www.trueblue.com;-;5,500;NA;
827;Magellan Midstream Partners;$2,507.7;Michael N. Mears;Chairman, President & Chief Executive Officer;Energy;Pipelines;Tulsa, Okla.;www.magellanlp.com;-;1,802;NA;
828;Toro;$2,505.2;Richard M. Olson;Chairman, President & Chief Executive Officer;Industrials;Construction and Farm Machinery;Bloomington, Minn.;www.thetorocompany.com;-;6,779;NA;
829;Akamai Technologies;$2,503;F. Thomson Leighton;Chief Executive Officer & Director;Technology;Internet Services and Retailing;Cambridge, Mass.;www.akamai.com;-;7,650;NA;
830;Moog;$2,497.5;John R. Scannell;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Elma, N.Y.;www.moog.com;-;10,675;NA;
831;Vertex Pharmaceuticals;$2,488.7;Jeffrey M. Leiden;Chairman, President & Chief Executive Officer;Health Care;Pharmaceuticals;Boston;www.vrtx.com;-;2,300;NA;
832;Equity Residential;$2,471.4;David J. Neithercut;President, Chief Executive Officer & Director;Financials;Real estate;Chicago;www.equityapartments.com;-;2,683;NA;
833;Selective Insurance Group;$2,470;Gregory E. Murphy;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Branchville, N.J.;www.selective.com;-;2,260;NA;
834;AptarGroup;$2,469.3;Stephan B. Tanda;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Crystal Lake, Ill.;www.aptar.com;-;13,200;NA;
835;Benchmark Electronics;$2,466.8;Paul J. Tufano;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Scottsdale, Ariz.;www.bench.com;-;10,600;NA;
836;Columbia Sportswear;$2,466.1;Timothy P. Boyle;President, Chief Executive Officer & Director;Apparel;Apparel;Portland, Ore.;www.columbia.com;-;6,188;NA;
837;A. Schulman;$2,461.1;Bhavesh V. Patel;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Fairlawn, Ohio;www.aschulman.com;-;4,900;NA;
838;Verso;$2,461;B. Christopher DiSantis;President, Chief Executive Officer & Director;Materials;Forest and Paper Products;Miamisburg, Ohio;www.versoco.com;-;4,200;NA;
839;Digital Realty Trust;$2,457.9;A. William Stein;Chairman & Chief Executive Officer;Financials;Real estate;San Francisco;www.digitalrealty.com;-;1,429;NA;
840;GNC Holdings;$2,453;Kenneth A. Martindale;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Pittsburgh;www.gnc.com;-;11,500;NA;
841;E*Trade Financial;$2,452;Karl A. Roessner;Chairman & Chief Executive Officer;Financials;Securities;New York City;www.etrade.com;-;3,607;NA;
842;Hovnanian Enterprises;$2,451.7;Ara K. Hovnanian;Chairman, President & Chief Executive Officer;Engineering & Construction;Homebuilders;Red Bank, N.J.;www.khov.com;-;1,905;NA;
843;Maximus;$2,451;Bruce L. Caswell;President, Chief Executive Officer & Director;Technology;Information Technology Services;Reston, Va.;www.maximus.com;-;20,400;NA;
844;Twitter;$2,443.3;Jack Dorsey;Chairman & Chief Executive Officer;Technology;Internet Services and Retailing;San Francisco;www.twitter.com;-;3,372;NA;
845;Par Pacific Holdings;$2,443.1;William C. Pate;President, Chief Executive Officer & Director;Energy;Petroleum Refining;Houston;www.parpacific.com;-;905;NA;
846;Parexel International;$2,441.5;Jamie Macdonald;Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;Waltham, Mass.;www.parexel.com;-;18,900;NA;
847;RH;$2,440.2;Gary G. Friedman;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Corte Madera, Calif.;www.rh.com;-;4,750;NA;
848;Nexstar Media Group;$2,432;Perry A. Sook;Chairman, President & Chief Executive Officer;Media;Entertainment;Irving, Texas;www.nexstar.tv;-;8,737;NA;
849;Knight-Swift Transportation Holdings;$2,425.5;David A. Jackson;President, Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Phoenix;www.knight-swift.com;-;25,300;NA;
850;Red Hat;$2,411.8;James M. Whitehurst;President, Chief Executive Officer & Director;Technology;Computer Software;Raleigh, N.C.;www.redhat.com;-;10,500;NA;
851;Belden;$2,388.6;John S. Stroup;Chairman, President & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;St. Louis;www.belden.com;-;8,800;NA;
852;Boyd Gaming;$2,383.7;Keith E. Smith;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Las Vegas;www.boydgaming.com;-;19,707;NA;
853;Primoris Services;$2,380;David L. King;President, Chief Executive Officer & Director;Engineering & Construction;Engineering, Construction;Dallas;www.primoriscorp.com;-;7,102;NA;
854;Gardner Denver;$2,375.4;Vicente Reynal;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Milwaukee;www.gardnerdenver.com;-;6,400;NA;
855;Donaldson;$2,371.9;Tod E. Carpenter;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Minneapolis;www.donaldson.com;-;13,200;NA;
856;Party City Holdco;$2,371.6;James M. Harrison;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Elmsford, N.Y.;www.partycity.com;-;14,600;NA;
857;J.Crew Group;$2,370.1;James W. Brett;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;New York City;www.jcrew.com;-;8,950;NA;
858;EnerSys;$2,367.1;David M. Shaffer;President, Chief Executive Officer & Director;Industrials;Electronics, Electrical Equip.;Reading, Pa.;www.enersys.com;-;9,400;NA;
859;Guess;$2,363.8;Victor Herrero;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Los Angeles;www.guess.com;-;14,700;NA;
860;Patterson-UTI Energy;$2,356.7;William A. Hendricks Jr.;President, Chief Executive Officer & Director;Energy;Oil and Gas Equipment, Services;Houston;www.patenergy.com;-;8,000;NA;
861;WGL Holdings;$2,354.7;Terry D. McCallister;Chairman & Chief Executive Officer;Energy;Energy;Washington;www.wglholdings.com;-;1,586;NA;
862;Wolverine World Wide;$2,350;Blake W. Krueger;Chairman, President & Chief Executive Officer;Apparel;Apparel;Rockford, Mich.;www.wolverineworldwide.com;-;3,700;NA;
863;Xilinx;$2,349.3;Victor Peng;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;San Jose, Calif.;www.xilinx.com;-;3,831;NA;
864;Vornado Realty Trust;$2,345.4;Steven Roth;Chairman & Chief Executive Officer;Financials;Real estate;New York City;www.vno.com;-;3,989;NA;
865;Middleby;$2,335.5;Selim A. Bassoul;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Elgin, Ill.;www.middleby.com;-;8,493;NA;
866;MPM Holdings;$2,331;John G. Boss;President, Chief Executive Officer & Director;Chemicals;Chemicals;Waterford, N.Y.;www.momentive.com;-;5,200;NA;
867;Cleveland-Cliffs;$2,330.2;NA;NA;Chemicals;NA;NA;NA;NA;NA;NA;
868;GGP;$2,327.9;Sandeep Mathrani;Chairman & Chief Executive Officer;Financials;Real estate;Chicago;www.ggp.com;-;1,700;NA;
869;Cypress Semiconductor;$2,327.8;Hassane El-Khoury;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;San Jose, Calif.;www.cypress.com;-;6,099;NA;
870;Arch Coal;$2,324.6;John W. Eaves;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;St. Louis;www.archcoal.com;-;3,790;NA;
871;GMS;$2,319.1;G. Michael Callahan Jr.;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Tucker, Ga.;www.gms.com;-;4,464;NA;
872;Waters;$2,309.1;Christopher J. O'Connell;Chairman & Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;Milford, Mass.;www.waters.com;-;7,000;NA;
873;H.B. Fuller;$2,306;James J. Owens;President, Chief Executive Officer & Director;Chemicals;Chemicals;St. Paul, Minn.;www.hbfuller.com;-;5,965;NA;
874;Affiliated Managers Group;$2,305;Nathaniel Dalton;Chairman & Chief Executive Officer;Financials;Securities;West Palm Beach, Fla.;www.amg.com;-;4,400;NA;
875;PerkinElmer;$2,301.3;Robert F. Friel;Chairman, President & Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;Waltham, Mass.;www.perkinelmer.com;-;11,000;NA;
876;Edgewell Personal Care;$2,298.4;David P. Hatfield;Chairman, President & Chief Executive Officer;Household Products;Household and Personal Products;Chesterfield, Mo.;www.edgewell.com;-;6,000;NA;
877;Maxim Integrated Products;$2,295.6;Tun� Doluca;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;San Jose, Calif.;www.maximintegrated.com;-;7,040;NA;
878;Knights of Columbus;$2,290.4;Carl A. Anderson;Chairman & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);New Haven, Conn.;www.kofc.org;-;926;NA;
879;IDEX;$2,287.3;Andrew K. Silvernail;Chairman, President & Chief Executive Officer;Industrials;Industrial Machinery;Lake Forest, Ill.;www.idexcorp.com;-;7,167;NA;
880;DST Systems;$2,284.4;William C. Stone;CEO-SS&C Technologies Holdings;Business Services;Financial Data Services;Kansas City, Mo.;www.dstsystems.com;-;14,200;NA;
881;Chico’s FAS;$2,282.4;Shelley G. Broader;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;Fort Myers, Fla.;www.chicosfas.com;-;12,350;NA;
